Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,25.71067821,27.79504763,28.72666198,32.82139387,31.05385236,29.38094454,28.19490272,30.40054672,30.93947632,31.84289133,28.57092276,31.25140167,34.28508888,32.20215905,30.76497374,27.10796086,28.85343539,33.23646709,37.94968779,42.59955095,37.25068752,40.12316814,43.54316578,36.18553091,40.60555704,45.81149314,41.66520503,39.2049333,38.16609902,38.24069924,39.63925727,39.14599591,36.89555951,36.05245674,35.26236647,34.65118625
Angola,no data,no data,no data,no data,no data,no data,33.19659073,35.18620946,34.33861951,51.77244107,40.56833244,34.28687735,31.22300245,34.39991323,29.80317185,26.52675255,30.60394192,38.1285388,52.66600839,45.00704996,39.39449042,37.4018523,37.20887261,37.04958211,36.45676464,27.05110493,22.04314336,23.80564965,19.69477508,19.22274468,20.73253093,19.80794742,19.26967714,18.45344786,17.81254767,17.16875164
Argentina,no data,no data,no data,22.01716795,22.93757057,22.86244414,22.68677849,22.58579737,23.13040953,25.47128762,25.24723778,26.43249924,21.85305415,22.02588763,23.02953208,24.42556013,26.61666182,29.55058817,30.76234775,34.52443593,33.35806863,34.90190054,36.82142314,37.60293345,38.8529315,41.36633005,41.52202068,41.12145402,39.49045409,38.32673969,no data,no data,no data,no data,no data,no data
Australia,30.54426489,33.12652858,34.11430479,34.19938078,33.81985737,33.77553681,33.63195419,32.88421732,34.72284499,36.29875322,35.31699367,35.75068805,35.00358804,35.01217192,34.94264876,34.69136637,34.63300806,34.38440511,35.11340654,37.82519665,37.03264352,36.35188573,36.57725386,36.49381321,36.83247857,37.3362983,37.28199843,36.74072747,36.87566466,38.45089813,44.49445812,44.05823232,40.70616963,39.08002036,38.18301479,36.88614448
Austria,46.56991062,47.59445631,49.00257821,54.00949751,54.0185514,55.82130017,55.62919632,52.27617411,54.0539281,50.30500278,50.65414177,51.35695665,52.43035488,49.92590867,53.70443024,51.15420204,50.37804248,49.24167365,49.87097374,54.1410048,52.8353756,50.89196224,51.21301503,51.6476506,52.32488089,51.02716711,50.06780022,48.93109779,48.64965346,48.21019863,58.33449436,52.50210016,51.0206348,50.68064973,49.89584677,49.39388209
Azerbaijan,no data,no data,no data,no data,24.28377174,18.66519824,19.74989197,20.19072015,18.72149753,19.50477069,18.23970656,16.78481176,23.13878407,21.66205181,24.21585147,22.49795845,25.2990803,26.06772667,31.43901774,34.5063526,31.95804039,33.73461955,36.63643664,37.77934163,36.37419252,38.68008124,35.37801374,35.59312045,33.13382073,33.42273981,42.28733219,41.39905724,40.68566375,39.88304597,38.97962042,38.33035562
Bangladesh,10.7739516,10.44877403,10.37162174,11.48329604,11.84763054,12.33537017,11.5444288,11.63936605,11.49472251,10.0297621,11.40752156,12.72936554,12.29980523,12.14688033,11.7481278,12.20708887,12.13114985,11.53201584,13.82351627,12.66863885,12.69919566,13.95156614,14.22401781,14.60985991,13.99714097,13.76927934,13.4468741,13.55956634,14.30188671,15.10718808,14.9698536,14.89525563,15.24643058,15.01609514,14.35994912,14.22343601
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.83043772,45.27474778,45.01652394,45.49929408,46.51532648,48.81447376,50.84357953,62.03565883,51.70276824,44.31854037,40.29452237,38.8925627,40.81303968,38.83644865,41.77011358,40.68321674,39.04208857,37.84462233,38.59865509,40.72919556,39.11548738,38.58058985,37.33767475,37.16678618,37.15733142
Belgium,54.36929385,55.62531076,55.91185207,57.05795629,54.66036356,52.64503133,53.05196745,51.60173315,50.95927333,50.49718125,49.39838362,49.37934818,49.90367971,51.04715133,49.31884644,51.86206808,48.78945475,48.56288506,50.77548317,54.68068219,53.87828386,55.30441421,56.47752962,56.11624415,55.59977072,53.71958858,53.09508148,51.91917606,52.23695463,52.27322786,61.2915079,56.38022961,55.53718129,55.32025246,55.47500384,55.42626624
