Country,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,2021_x,2022_x,2023_x,2024_x,2025_x,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y,2021_y,2022_y,2023_y,2024_y,2025_y
Algeria,25.71067821,27.79504763,28.72666198,32.82139387,31.05385236,29.38094454,28.19490272,30.40054672,30.93947632,31.84289133,28.57092276,31.25140167,34.28508888,32.20215905,30.76497374,27.10796086,28.85343539,33.23646709,37.94968779,42.59955095,37.25068752,40.12316814,43.54316578,36.18553091,40.60555704,45.81149314,41.66520503,39.2049333,38.16609902,38.24069924,39.63925727,39.14599591,36.89555951,36.05245674,35.26236647,34.65118625,28.8961039,31.59608969,29.47811503,26.90539991,29.18925642,29.96758089,32.10727626,33.33098338,27.3631353,29.9483021,38.27231721,34.99098673,35.44892544,37.07779449,36.02421493,40.73915631,42.81417218,39.83418437,47.56603615,36.79247297,37.21221881,40.01879498,39.10854679,35.78557055,33.30548042,30.54407891,28.61373369,32.55787099,33.6980157,32.60282382,28.15190811,27.76998485,27.70148615,26.59134122,26.04049234,26.0603491
Angola,no data,no data,no data,no data,no data,no data,33.19659073,35.18620946,34.33861951,51.77244107,40.56833244,34.28687735,31.22300245,34.39991323,29.80317185,26.52675255,30.60394192,38.1285388,52.66600839,45.00704996,39.39449042,37.4018523,37.20887261,37.04958211,36.45676464,27.05110493,22.04314336,23.80564965,19.69477508,19.22274468,20.73253093,19.80794742,19.26967714,18.45344786,17.81254767,17.16875164,no data,no data,no data,no data,no data,no data,39.10397109,34.88174799,27.62929457,41.12783285,42.85765488,37.46333886,28.68055552,29.7152736,30.9867206,33.69724656,40.02674136,42.44046837,48.43085888,37.10967324,42.78938931,45.48305502,41.34007069,36.74579323,30.73641479,24.1338641,17.52293952,17.50183043,21.88347467,20.01459823,17.9250267,19.679414,20.24950904,20.10918794,19.58226247,19.04538877
Argentina,no data,no data,no data,22.01716795,22.93757057,22.86244414,22.68677849,22.58579737,23.13040953,25.47128762,25.24723778,26.43249924,21.85305415,22.02588763,23.02953208,24.42556013,26.61666182,29.55058817,30.76234775,34.52443593,33.35806863,34.90190054,36.82142314,37.60293345,38.8529315,41.36633005,41.52202068,41.12145402,39.49045409,38.32673969,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.9928844,21.68776822,20.78783798,19.87616806,20.74817602,21.30297517,21.7662015,21.83048659,21.06835289,19.94290425,23.52603371,26.99642711,27.76618315,28.26673209,30.30756264,31.11432064,32.69439152,31.96461396,32.15625208,33.80336754,34.34910503,34.60050241,35.36577202,34.86735169,34.42811289,33.97369761,33.85902607,no data,no data,no data,no data,no data,no data
Australia,30.54426489,33.12652858,34.11430479,34.19938078,33.81985737,33.77553681,33.63195419,32.88421732,34.72284499,36.29875322,35.31699367,35.75068805,35.00358804,35.01217192,34.94264876,34.69136637,34.63300806,34.38440511,35.11340654,37.82519665,37.03264352,36.35188573,36.57725386,36.49381321,36.83247857,37.336298299999996,37.28199843,36.74072747,36.87566466,38.45089813,44.49445812,44.05823232,40.70616963,39.08002036,38.18301479,36.88614448,30.31209453,30.33268531,29.36151809,29.46422517,30.01838335,31.16539401,32.17223362,32.39019811,34.47654613,36.96593307,36.57106424,35.72032169,35.19663749,36.06608475,36.26979703,36.40383555,36.40934161,35.8622398,34.01163073,33.25366963,31.90558632,31.82052822,33.06665699,33.68107265,33.91386081,34.54946112,34.86283872,35.02422792,35.64110326,34.55736222,34.43074779,33.60244596,34.48569442,35.21703101,35.61520222,34.90748037
Austria,46.56991062,47.59445631,49.00257821,54.00949751,54.0185514,55.82130017,55.62919632,52.27617411,54.0539281,50.30500278,50.65414177,51.35695665,52.43035488,49.92590867,53.70443024,51.15420204,50.37804248,49.24167365,49.87097374,54.1410048,52.835375600000006,50.89196224,51.21301503,51.6476506,52.32488089,51.02716711,50.06780022,48.93109779,48.64965346,48.21019863,58.33449436,52.50210016,51.0206348,50.68064973,49.89584677,49.39388209,43.99988377,44.64885832,46.86588995,49.46755096,49.00514721,49.68076075,51.27208821,49.90434694,51.38516277,47.68697271,48.59093305,50.69854633,50.56583186,48.5441544,48.86537635,48.61343359,47.81460166,47.85930952,48.34957154,48.78527975,48.38197195,48.31482811,49.02396054,49.69757368,49.59573893,49.98092481,48.49419689,48.23190271,48.84736452,48.94494124,48.43431801,48.55724105,48.72917827,48.92917827,48.72917827,48.87917827
Azerbaijan,no data,no data,no data,no data,24.28377174,18.66519824,19.74989197,20.19072015,18.72149753,19.50477069,18.23970656,16.78481176,23.13878407,21.66205181,24.21585147,22.49795845,25.2990803,26.06772667,31.43901774,34.5063526,31.95804039,33.73461955,36.63643664,37.77934163,36.37419252,38.68008124,35.37801374,35.59312045,33.13382073,33.42273981,42.28733219,41.39905724,40.68566375,39.88304597,38.97962042,38.33035562,no data,no data,no data,no data,17.86791291,17.57171244,17.58598924,19.15920995,20.35268762,18.47198421,18.38443408,38.54885738,42.53187121,23.26667807,25.99728956,25.23877737,25.96204543,28.40483538,48.63283713,40.35924302,45.78928491,44.59426047,40.34191667,39.42281673,39.1165319,33.86609476,34.25172902,34.22697795,38.61184638,41.52085625,35.97488688,35.61047478,35.54800276,34.90256299,34.14555792,33.16403329
Bangladesh,10.7739516,10.44877403,10.37162174,11.48329604,11.84763054,12.33537017,11.5444288,11.63936605,11.49472251,10.0297621,11.40752156,12.72936554,12.29980523,12.14688033,11.7481278,12.20708887,12.13114985,11.53201584,13.82351627,12.66863885,12.69919566,13.95156614,14.22401781,14.60985991,13.99714097,13.76927934,13.4468741,13.55956634,14.30188671,15.10718808,14.9698536,14.89525563,15.24643058,15.01609514,14.35994912,14.22343601,10.59338176,10.97023617,10.79111544,11.98558918,11.8854261,11.89117704,9.168991892,9.355257599,8.923639011,8.46621142,8.489216099,8.649287787,9.562293132,9.804302515,9.124267414,9.354526672999999,9.558595932000001,9.299270936000001,9.792863581,9.458611166,10.023839599999999,10.36240565,11.24739861,11.22890941,10.92035392,9.794351796,10.0853864,10.219983099999999,9.661141962,9.745337727,8.172987167,8.814837479,9.795772268,9.990813225,9.943579753,9.895071911
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.83043772,45.27474778,45.01652394,45.49929408,46.51532648,48.81447376,50.84357953,62.03565883,51.70276824,44.31854037,40.29452237,38.892562700000006,40.81303968,38.83644865,41.77011358,40.68321674,39.04208857,37.84462233,38.59865509,40.72919556,39.11548738,38.58058985,37.33767475,37.16678618,37.15733142,no data,no data,no data,no data,no data,no data,42.67555184,41.41425858,46.46706666,47.17191497,45.88661346,38.9298856,37.20142302,38.04733616,38.19562669,39.58109744,40.84747885,42.7565797,50.76104011,44.47080497,40.13191232,37.48860233,39.25238751,39.83108064,38.92855906,38.80647446,39.02413406,38.70556403,39.64942071,39.22450908,36.03762718,36.34504979,36.74117938,36.50366964,36.48950777,36.35251257
Belgium,54.36929385,55.62531076,55.91185207,57.05795629,54.66036356,52.64503133,53.05196745,51.60173315,50.95927333,50.49718125,49.39838362,49.37934818,49.90367971,51.04715133,49.31884644,51.86206808,48.78945475,48.56288506,50.77548317,54.68068219,53.87828386,55.30441421,56.47752962,56.11624415,55.59977072,53.71958858,53.09508148,51.91917606,52.23695463,52.27322786,61.2915079,56.38022961,55.53718129,55.32025246,55.47500384,55.42626624,47.37656194,47.95318014,47.49200416,49.34944127,49.37272256,48.13648219,49.04936347,49.45069411,49.93457253,49.84878625,49.31916404,49.6123858,49.85987448,49.18311101,49.0801159,49.14690827,49.02891272,48.62947043,49.6801633,49.24981167,49.79057664,50.97441804,52.15902117,52.98694258,52.54421792,51.30594526,50.731514000000004,51.22848167,51.42908748,50.36464906,49.9380529,50.07901125,50.11102351,50.19966972,50.25460464,50.24732306
Benin,13.26021763,12.60458956,13.4646841,11.98421878,13.55957461,14.77756252,13.28105291,12.69455572,10.89089607,10.74597005,15.64145423,15.4474579,15.28399511,13.68591036,13.35955213,14.13852488,13.00582298,15.80946551,14.54941707,16.99679649,14.07577898,14.72778322,14.23593316,14.8940283,14.22455653,18.15256298,15.42778642,17.78497173,16.56750801,14.6011117,17.41977872,17.45903048,16.99198886,16.74353716,16.31834183,16.16173141,10.88682708,10.3527534,11.48073492,11.57083895,11.99331372,12.86443832,13.17278986,13.16278888,12.72307283,12.69011699,11.94925497,12.17803124,11.95410272,12.61387,12.65477947,12.61524136,12.85928007,16.03146974,14.50851246,14.75579379,13.80024047,13.74647421,14.02036749,13.52899431,12.57401213,12.59972709,11.13915576,13.58122705,13.59107181,14.06153341,13.67770203,14.01359028,14.21359028,14.11359028,14.11359028,14.01359028
Bolivia,22.77613215,24.18092033,25.25327798,27.18143385,26.76665075,25.78057966,26.04760684,28.27968646,29.97289953,29.36430855,29.31436442,31.95486251,33.292648,31.9897384,32.34451189,33.18251324,29.83408691,32.65260244,35.33283538,35.81952158,31.49965639,35.35582063,36.0381816,38.43103113,43.25670383,44.59015488,39.92912071,38.59775622,37.09485575,36.06655671,36.13463283,34.15578015,33.12560185,32.28987083,31.70649381,31.09382807,18.37613142,19.9809203,20.85327791,21.08143392,23.76665075,23.96399524,24.14760682,24.99878381,24.87289953,25.52774149,25.58623401,25.13526236,24.50462908,24.11434327,26.80109231,30.93777854,34.30398261,34.39338284,38.90231953,35.83364365,33.165558399999995,36.1872081,37.79500156,39.08739761,39.89307964,37.68588856,32.6856957,30.77399123,28.95110064,28.84492728,27.57001536,27.08003084,27.2382167,27.20856323,27.1629286,27.13983454
