Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,28.8961039,31.59608969,29.47811503,26.90539991,29.18925642,29.96758089,32.10727626,33.33098338,27.3631353,29.9483021,38.27231721,34.99098673,35.44892544,37.07779449,36.02421493,40.73915631,42.81417218,39.83418437,47.56603615,36.79247297,37.21221881,40.01879498,39.10854679,35.78557055,33.30548042,30.54407891,28.61373369,32.55787099,33.6980157,32.60282382,28.15190811,27.76998485,27.70148615,26.59134122,26.04049234,26.0603491
Angola,no data,no data,no data,no data,no data,no data,39.10397109,34.88174799,27.62929457,41.12783285,42.85765488,37.46333886,28.68055552,29.7152736,30.9867206,33.69724656,40.02674136,42.44046837,48.43085888,37.10967324,42.78938931,45.48305502,41.34007069,36.74579323,30.73641479,24.1338641,17.52293952,17.50183043,21.88347467,20.01459823,17.9250267,19.679414,20.24950904,20.10918794,19.58226247,19.04538877
Argentina,no data,no data,no data,21.9928844,21.68776822,20.78783798,19.87616806,20.74817602,21.30297517,21.7662015,21.83048659,21.06835289,19.94290425,23.52603371,26.99642711,27.76618315,28.26673209,30.30756264,31.11432064,32.69439152,31.96461396,32.15625208,33.80336754,34.34910503,34.60050241,35.36577202,34.86735169,34.42811289,33.97369761,33.85902607,no data,no data,no data,no data,no data,no data
Australia,30.31209453,30.33268531,29.36151809,29.46422517,30.01838335,31.16539401,32.17223362,32.39019811,34.47654613,36.96593307,36.57106424,35.72032169,35.19663749,36.06608475,36.26979703,36.40383555,36.40934161,35.8622398,34.01163073,33.25366963,31.90558632,31.82052822,33.06665699,33.68107265,33.91386081,34.54946112,34.86283872,35.02422792,35.64110326,34.55736222,34.43074779,33.60244596,34.48569442,35.21703101,35.61520222,34.90748037
Austria,43.99988377,44.64885832,46.86588995,49.46755096,49.00514721,49.68076075,51.27208821,49.90434694,51.38516277,47.68697271,48.59093305,50.69854633,50.56583186,48.5441544,48.86537635,48.61343359,47.81460166,47.85930952,48.34957154,48.78527975,48.38197195,48.31482811,49.02396054,49.69757368,49.59573893,49.98092481,48.49419689,48.23190271,48.84736452,48.94494124,48.43431801,48.55724105,48.72917827,48.92917827,48.72917827,48.87917827
Azerbaijan,no data,no data,no data,no data,17.86791291,17.57171244,17.58598924,19.15920995,20.35268762,18.47198421,18.38443408,38.54885738,42.53187121,23.26667807,25.99728956,25.23877737,25.96204543,28.40483538,48.63283713,40.35924302,45.78928491,44.59426047,40.34191667,39.42281673,39.1165319,33.86609476,34.25172902,34.22697795,38.61184638,41.52085625,35.97488688,35.61047478,35.54800276,34.90256299,34.14555792,33.16403329
Bangladesh,10.59338176,10.97023617,10.79111544,11.98558918,11.8854261,11.89117704,9.168991892,9.355257599,8.923639011,8.46621142,8.489216099,8.649287787,9.562293132,9.804302515,9.124267414,9.354526673,9.558595932,9.299270936,9.792863581,9.458611166,10.0238396,10.36240565,11.24739861,11.22890941,10.92035392,9.794351796,10.0853864,10.2199831,9.661141962,9.745337727,8.172987167,8.814837479,9.795772268,9.990813225,9.943579753,9.895071911
Belarus,no data,no data,no data,no data,no data,no data,42.67555184,41.41425858,46.46706666,47.17191497,45.88661346,38.9298856,37.20142302,38.04733616,38.19562669,39.58109744,40.84747885,42.7565797,50.76104011,44.47080497,40.13191232,37.48860233,39.25238751,39.83108064,38.92855906,38.80647446,39.02413406,38.70556403,39.64942071,39.22450908,36.03762718,36.34504979,36.74117938,36.50366964,36.48950777,36.35251257
Belgium,47.37656194,47.95318014,47.49200416,49.34944127,49.37272256,48.13648219,49.04936347,49.45069411,49.93457253,49.84878625,49.31916404,49.6123858,49.85987448,49.18311101,49.0801159,49.14690827,49.02891272,48.62947043,49.6801633,49.24981167,49.79057664,50.97441804,52.15902117,52.98694258,52.54421792,51.30594526,50.731514,51.22848167,51.42908748,50.36464906,49.9380529,50.07901125,50.11102351,50.19966972,50.25460464,50.24732306
