Net lending/borrowing (also referred as overall balance) (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,3.185425685,3.801042068,0.751453045,-5.915993962,-1.864595939,0.586636342,3.912373541,2.930436659,-3.576341021,-1.89458923,9.701394446,3.739585058,1.163836561,4.875635436,5.25924119,13.63119545,13.96073679,6.597717279,9.616348354,-5.807077979,-0.03846871,-0.104373158,-4.434618991,-0.399960355,-7.300076617,-15.26741423,-13.05147134,-6.647062307,-4.468083321,-5.637875422,-11.48734916,-11.37601106,-9.194073361,-9.461115527,-9.221874127,-8.590837151
Angola,no data,no data,no data,no data,no data,no data,5.907380357,-0.304461474,-6.709324933,-10.64460822,2.289322438,3.176461513,-2.54244693,-4.684639627,1.183548751,7.17049401,9.422799441,4.311929563,-4.235149508,-7.89737672,3.394898885,8.081202716,4.131198072,-0.303788881,-5.720349848,-2.91724083,-4.520203839,-6.303819228,2.188699589,0.791853557,-2.807504227,-0.12853342,0.9798319,1.655740087,1.769714795,1.876637136
Argentina,no data,no data,no data,-0.024283554,-1.249802355,-2.074606161,-2.810610432,-1.837621355,-1.827434359,-3.705086124,-3.416751183,-5.364146344,-1.910149902,1.500146081,3.96689503,3.340623023,1.650070275,0.756974472,0.351972892,-1.830044406,-1.393454664,-2.74564846,-3.0180556,-3.253828427,-4.252429085,-6.000558031,-6.654668983,-6.693341132,-5.516756482,-4.46771362,no data,no data,no data,no data,no data,no data
Australia,-0.232170356,-2.793843278,-4.7527867,-4.735155611,-3.801474021,-2.610142796,-1.459720571,-0.494019209,-0.24629886,0.667179853,1.254070568,-0.030366361,0.193049451,1.053912833,1.327148274,1.712469173,1.776333552,1.477834691,-1.101775806,-4.571527024,-5.127057206,-4.531357508,-3.51059687,-2.812740563,-2.918617759,-2.786837186,-2.419159707,-1.716499543,-1.234561402,-3.893535908,-10.06371033,-10.45578637,-6.220475204,-3.862989348,-2.567812571,-1.978664113
Austria,-2.570026844,-2.945597989,-2.136688259,-4.541946552,-5.013404188,-6.140539419,-4.35710811,-2.371827174,-2.668765336,-2.618030067,-2.063208721,-0.658410312,-1.864523021,-1.381754272,-4.83905389,-2.540768458,-2.563440822,-1.382364127,-1.521402197,-5.355725043,-4.453403655,-2.577134131,-2.189054492,-1.950076919,-2.729141959,-1.046242301,-1.573603336,-0.699195076,0.197711063,0.734742612,-9.900176354,-3.944859107,-2.291456535,-1.751471464,-1.166668504,-0.514703819
Azerbaijan,no data,no data,no data,no data,-6.415858828,-1.0934858,-2.163902732,-1.031510201,1.63119009,-1.032786477,0.144727517,21.76404562,19.39308714,1.604626259,1.781438087,2.740818919,0.662965133,2.33710871,17.19381939,5.852890415,13.83124453,10.85964091,3.705480028,1.643475099,2.742339379,-4.813986477,-1.126284716,-1.366142496,5.47802565,8.098116445,-6.312445313,-5.788582457,-5.137660987,-4.980482976,-4.834062497,-5.166322334
Bangladesh,-0.180569837,0.521462141,0.419493706,0.502293141,0.037795566,-0.444193131,-2.375436905,-2.284108449,-2.571083495,-1.563550685,-2.918305461,-4.080077757,-2.737512095,-2.342577816,-2.623860389,-2.8525622,-2.57255392,-2.232744899,-4.030652684,-3.210027688,-2.675356067,-3.589160486,-2.976619202,-3.380950506,-3.076787055,-3.974927541,-3.361487692,-3.339583242,-4.640744752,-5.361850348,-6.796866432,-6.080418151,-5.450658314,-5.025281919,-4.416369369,-4.328364103
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-4.900552118,-8.073324753,-6.96918778,-7.303667389,-6.934229041,-7.966994915,-8.086999839,-11.27461872,-7.231963268,-4.186628048,-2.805920045,0.359824811,-0.981959041,0.092110405,-2.963639129,-1.659082683,-0.336524545,1.804798377,0.625853989,-4.691568378,-2.770437594,-1.839410471,-0.834005106,-0.677278413,-0.804818856
Belgium,-6.99273191,-7.672130619,-8.419847914,-7.708515027,-5.287641002,-4.50854914,-4.002603972,-2.15103904,-1.024700805,-0.648395005,-0.079219584,0.233037623,-0.043805237,-1.864040313,-0.238730544,-2.715159804,0.239457975,0.066585375,-1.095319865,-5.430870515,-4.08770722,-4.32999617,-4.318508448,-3.129301568,-3.055552798,-2.413643323,-2.363567479,-0.690694394,-0.807867152,-1.908578797,-11.353455,-6.301218363,-5.426157777,-5.120582736,-5.220399201,-5.178943181
Benin,-2.373390555,-2.251836156,-1.983949184,-0.413379827,-1.56626089,-1.913124195,-0.108263045,0.468233153,1.832176761,1.944146944,-3.692199256,-3.269426664,-3.329892397,-1.072040365,-0.704772656,-1.523283516,-0.146542915,0.222004233,-0.040904611,-2.241002705,-0.275538513,-0.981309004,-0.215565666,-1.365033987,-1.650544396,-5.552835897,-4.288630665,-4.203744682,-2.976436202,-0.539578284,-3.742076692,-3.445440202,-2.778398585,-2.629946889,-2.204751558,-2.148141132
Bolivia,-4.400000733,-4.200000027,-4.400000071,-6.099999931,-3.000000006,-1.816584424,-1.900000016,-3.280902657,-5.1,-3.836567058,-3.728130401,-6.819600146,-8.788018921,-7.875395133,-5.543419582,-2.244734708,4.469895705,1.740780407,3.569484155,0.014122068,1.665902006,0.831387469,1.756819956,0.656366485,-3.363624188,-6.904266322,-7.243425006,-7.823764988,-8.143755105,-7.221629429,-8.564617472,-7.07574931,-5.887385148,-5.081307601,-4.54356521,-3.953993528
